Mã trường,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Năm xét tuyển,Ghi chú,Môn chính
BVU,7480201,Công nghệ thông tin,A00;A01;D01;X26,15,2025,,
BVU,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01;A04;D01,14,2019,,
BVU,7510301,"Công nghệ kỹ thuật điện, điện tử (Điện công nghiệp và dân dụng; Điện tử công nghiệp; Điều khiển và tự động hoá; Năng lượng tái tạo)",A00;A01;A04;D01,15,2020,,
BVU,7510301,Công nghệ kỹ thuật điện; điện tử,A00;A01;A02;D01,15,2021,,
BVU,7510301,"Công nghệ kỹ thuật điện,
điện tử",A00;A01;C01;D01,15,2022,,
BVU,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01;C01;D01,15,2023,,
BVU,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01;C00;D01,15,2024,"CTC học Tiếng Việt, NN Tiếng Anh",
BVU,7510301,"Công nghệ kỹ thuật điện, điện tử (Chương trình chuẩn, ngoại ngữ tiếng Anh)",A00;A01;D01;X26,15,2025,,
BVU,7510605,Logistics và Quản lý chuỗi cung ứng,A00;C00;C01;D01,14,2019,,
BVU,7510605,Logistics và Quản lý chuỗi cung ứng (4 chuyên ngành: Logistics và quản lý chuỗi cung ứng; Tổ chức quản lý cảng - Xuất nhập khẩu và Giao nhận vận tải quốc tế; Quản lý dịch vụ vận tải; Thương mại điện tử),A00;C00;C01;D01,15,2020,,
BVU,7510605,Logistics và quản lý chuỗi cung ứng,A00;C00;C04;D01,15,2021,,
BVU,7510605,"Logistics và quản lý chuỗi
cung ứng",A00;C00;C20;D01,15,2022,,
BVU,7510605,Logistics và Quản lý chuỗi cung ứng,A00;C00;C20;D01,15,2023,,
BVU,7510605,Logistics và Quản lý chuỗi cung ứng,A00;A01;C00;D01,15,2024,"CTC học Tiếng Việt, NN Tiếng Anh",
BVU,7510605,"Logistics và Quản lý chuỗi cung ứng (Chương trình chuẩn, ngoại ngữ tiếng Anh)",A00;A01;C00;D01,15,2025,,
CCM,7210404,Thiết kế thời trang,D01;H00;V00;V01,14,2019,,
CCM,7210404,Thiết kế thời trang,D01;H00;V00;V01,15,2020,,
CCM,7210404,Thiết kế thời trang,D01;H00;V00;V01,18,2021,,
CCM,7210404,Thiết kế thời trang,D01;H00;V00;V01,19,2022,,
CCM,7210404,Thiết kế thời trang,D01;H00;V00;V01,20,2023,,
CCM,7210404,Thiết kế thời trang,D01;H00;V00;V01,18,2024,,
CCM,7210404,Thiết kế thời trang,D01;H00;H06;H08;H09;V01;V05,18,2025,,
CCM,7340115,Marketing,A00;A01;D01;D07,14,2019,,
CCM,7340115,Marketing,A00;A01;B00;D01,15,2020,,
CCM,7340115,Marketing,A00;A01;B00;D01,16.5,2021,,
CCM,7340115,Marketing,A00;A01;B00;D01,17,2022,,
CCM,7340115,Marketing,A00;A01;B00;D01,18,2023,,
CCM,7340115,Marketing,A00;A01;B00;D01,15,2024,,
CCM,7340115,Marketing,A00;A01;B00;C01;C03;C04;C14;D01;X03;X04;X23;X24,17,2025,,
CCM,7510201,Công nghệ kỹ thuật cơ khí,A00;A01;D01;D07,14,2019,,
CCM,7510201,Công nghệ kỹ thuật cơ khí,A00;A01;B00;D01,15,2020,,
CCM,7510201,Công nghệ kỹ thuật cơ khí,A00;A01;B00;D01,16.5,2021,,
CCM,7510201,Công nghệ kỹ thuật cơ khí,A00;A01;B00;D01,17,2022,,
CCM,7510201,Công nghệ kỹ thuật cơ khí,A00;A01;B00;D01,18,2023,,
CCM,7510201,Công nghệ kỹ thuật cơ khí,A00;A01;B00;D01,15,2024,,
CCM,7510201,Công nghệ kỹ thuật cơ khí,A00;A01;B00;C01;C03;C04;C14;D01;X03;X04;X23;X24,16,2025,,
CCM,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01;D01;D07,14,2019,,
CCM,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01;B00;D01,15,2020,,
CCM,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01;B00;D01,16.5,2021,,
CCM,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01;B00;D01,17,2022,,
CCM,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01;B00;D01,18,2023,,
CCM,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01;B00;D01,15,2024,,
CCM,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01;B00;C01;C03;C04;C14;D01;X03;X04;X23;X24,17,2025,,
CCM,7510601,Quản lý công nghiệp,A00;A01;D01;D07,14,2019,,
CCM,7510601,Quản lý công nghiệp,A00;A01;B00;D01,15,2020,,
CCM,7510601,Quản lý công nghiệp,A00;A01;B00;D01,16.5,2021,,
CCM,7510601,Quản lý công nghiệp,A00;A01;B00;D01,17,2022,,
CCM,7510601,Quản lý công nghiệp,A00;A01;B00;D01,18,2023,,
CCM,7510601,Quản lý công nghiệp,A00;A01;B00;D01,15,2024,,
CCM,7510601,Quản lý công nghiệp,A00;A01;B00;C01;C03;C04;C14;D01;X03;X04;X23;X24,17,2025,,
CCM,7540202,"Công nghệ sợi, dệt",A00;A01;D01;D07,14,2019,,
CCM,7540202,"Công nghệ sợi, dệt",A00;A01;B00;D01,15,2020,,
CCM,7540202,"Công nghệ sợi, dệt",A00;A01;B00;D01,16.5,2021,,
CCM,7540202,Công nghệ Sợi Dệt,A00;A01;B00;D01,17,2022,,
CCM,7540202,Công nghệ Sợi Dệt,A00;A01;B00;D01,18,2023,,
CCM,7540202,Công nghệ sợi dệt,A00;A01;B00;D01,15,2024,,
CCM,7540202,Công nghệ Sợi Dệt,A00;A01;B00;C01;C03;C04;C14;D01;X03;X04;X23;X24,16,2025,,
CCM,7540209,Công nghệ may,A00;A01;D01;D07,16,2019,,
CCM,7540209,Công nghệ may,A00;A01;B00;D01,16,2020,,
CCM,7540209,Công nghệ may,A00;A01;B00;D01,17.5,2021,,
CCM,7540209,Công nghệ may,A00;A01;B00;D01,18,2022,,
CCM,7540209,Công nghệ may,A00;A01;B00;D01,19,2023,,
CCM,7540209,Công nghệ may,A00;A01;B00;D01,15,2024,,
CCM,7540209,Công nghệ may,A00;A01;B00;C01;C03;C04;C14;D01;X03;X04;X23;X24,17,2025,,
CEA,7310101,Kinh tế,A00;A01;B00;D01,13.5,2019,,
CEA,7310101,Kinh tế,A00;A01;B00;D01,14.7,2020,,
CEA,7310101,Kinh tế,A00;A01;B00;D01,14,2021,,
CEA,7310101,Kinh tế,A00;A01;B00;D01,15,2022,,
CEA,7310101,Kinh tế,A00;A01;B00;D01,18,2023,,
CEA,7310101,Kinh tế,A00;A01;B00;D01,17,2024,,
CEA,7310101,Kinh tế,A00;A01;C03;D01,16.5,2025,,
CEA,7340101,Quản trị kinh doanh,A00;A01;B00;D01,13.3,2019,,
CEA,7340101,Quản trị kinh doanh,A00;A01;B00;D01,14.1,2020,,
CEA,7340101,Quản trị kinh doanh,A00;A01;B00;D01,14,2021,,
CEA,7340101,Quản trị kinh doanh,A00;A01;B00;D01,13,2022,,
CEA,7340101,Quản trị kinh doanh,A00;A01;B00;D01,18,2023,,
CEA,7340101,Quản trị kinh doanh,A00;A01;B00;D01,17,2024,,
CEA,7340101,Quản trị kinh doanh,A00;A01;C03;D01,16.5,2025,,
CEA,7340201,Tài chính Ngân hàng,A00;A01;B00;D01,14.35,2019,,
CEA,7340201,Tài chính ngân hàng,A00;A01;B00;D01,15.8,2020,,
CEA,7340201,Tài chính ngân hàng,A00;A01;B00;D01,14,2021,,
CEA,7340201,Tài chính ngân hàng,A00;A01;B00;D01,15.5,2022,,
CEA,7340201,Tài chính ngân hàng,A00;A01;B00;D01,18,2023,,
CEA,7340201,Tài chính ngân hàng,A00;A01;B00;D01,17,2024,,
CEA,7340201,Tài chính - Ngân hàng,A00;A01;C03;D01,17,2025,,
CEA,7340301,Kế toán,A00;A01;B00;D01,13,2019,,
CEA,7340301,Kế toán,A00;A01;B00;D01,14,2020,,
CEA,7340301,Kế toán,A00;A01;B00;D01,14,2021,,
CEA,7340301,Kế toán,A00;A01;B00;D01,15,2022,,
CEA,7340301,Kế toán,A00;A01;B00;D01,18,2023,,
CEA,7340301,Kế toán,A00;A01;B00;D01,17,2024,,
CEA,7340301,Kế toán,A00;A01;C03;D01,17,2025,,
CEA,7620201,Lâm học,A00;A01;B00;D01,13,2019,,
CEA,7620201,Lâm nghiệp,A00;A01;B00;D01,14,2020,,
CEA,7620201,Lâm nghiệp,A00;A01;B00;D01,14,2021,,
CEA,7620201,Lâm học,A00;A01;B00;D01,15.5,2022,,
CEA,7620201,Lâm học,A00;A01;B00;D01,20,2023,,
CEA,7620201,Lâm học,A00;A01;B00;D01,18,2024,,
CEA,7620201,Lâm học,A00;A01;C03;D01,24,2025,,
CEA,7640101,Thú y,A00;A01;B00;D01,13.45,2019,,
CEA,7640101,Thú y,A00;A01;B00;D01,15.3,2020,,
CEA,7640101,Thú y,A00;A01;B00;D01,14,2021,,
CEA,7640101,Thú y (Bác sĩ thú y),A00;A01;B00;D01,14,2022,,
CEA,7640101,Thú y (Bác sĩ thú y),A00;A01;B00;D01,18,2023,,
CEA,7640101,Thú y (Bác sĩ Thú y),A00;A01;B00;D01,17,2024,,
CEA,7640101,Thúy (Bác sĩ Thú y),A01;B00;C03;D01,16,2025,,
CEA,7850103,Quản lý đất đai,A00;A01;B00;D01,17.55,2019,,
CEA,7850103,Quản lý đất đai,A00;A01;B00;D01,15.65,2020,,
CEA,7850103,Quản lý đất đai,A00;A01;B00;D01,14,2021,,
CEA,7850103,Quản lý đất đai,A00;A01;B00;D01,15.5,2022,,
CEA,7850103,Quản lý đất đai,A00;A01;B00;D01,19,2023,,
CEA,7850103,Quản lý đất đai,A00;A01;B00;D01,17,2024,,
CEA,7850103,Quản lý đất đai,A00;A01;C03;D01,16,2025,,
DAD,7220201,Ngôn ngữ Anh,D01;D12;D14;D15,14,2019,,
DAD,7220201,Ngôn ngữ Anh,D01;D78;D90;D96,14,2020,,
DAD,7220201,Ngôn ngữ Anh,A01;D01;D78;D90,15,2021,,
DAD,7220201,Ngôn ngữ Anh,A01;D01;D78;D90,15,2022,,
DAD,7220201,Ngôn ngữ Anh,A01;D01;D78;D90,15,2023,,
DAD,7220201,Ngôn ngữ Anh,A01;D01;D78;D90,15,2024,,
DAD,7220201,Ngôn ngữ Anh,C00;C03;C04;D01;D10;D14;X02;X70;X78,15,2025,,
DAD,7220204,Ngôn ngữ Trung Quốc,A16;C15;D01;D16,14,2019,,
DAD,7220204,Ngôn ngữ Trung Quốc,A01;C00;D01;D04,14,2020,,
DAD,7220204,Ngôn ngữ Trung Quốc,A01;C00;C15;D01,15,2021,,
DAD,7220204,Ngôn ngữ Trung Quốc,A01;D01;D04;D78,15,2022,,
DAD,7220204,Ngôn ngữ Trung Quốc,A01;D01;D04;D78,15,2023,,
DAD,7220204,Ngôn ngữ Trung Quốc,A01;D01;D04;D78,15,2024,,
DAD,7220204,Ngôn ngữ Trung Quốc,C00;C03;C04;D01;D10;D14;X02;X70;X78,15,2025,,
DAD,7310401,Tâm lý học,A15;C00;C16;D01,14,2019,,
DAD,7310401,Tâm lý học,A16;C00;C15;D01,14.5,2020,,
DAD,7310401,Tâm lý học,A00;B00;C00;D01,15,2021,,
DAD,7310401,Tâm lý học,A00;A01;D01;D78,15,2022,,
DAD,7310401,Tâm lý học,A00;C00;D01;D78,15,2023,,
DAD,7310401,Tâm lý học,A00;C00;D01;D78,15,2024,,
DAD,7310401,Tâm lý học,B03;C00;C03;C04;D01;D15;X02;X17;X70,15,2025,,
DAD,7340101,Quản trị kinh doanh,A00;A16;C15;D01,14,2019,,
DAD,7340101,Quản trị kinh doanh,A00;A16;C00;D01,14,2020,,
DAD,7340101,Quản trị kinh doanh,A00;A01;C01;D01,15,2021,,
DAD,7340101,Quản trị kinh doanh,A00;A01;D01;D78,15,2022,,
DAD,7340101,Quản trị kinh doanh,A00;A01;D01;D78,15,2023,,
DAD,7340101,Quản trị kinh doanh,A00;A01;D01;D78,15,2024,,
