Mã trường,Mã ngành,Tên ngành,Tổ hợp môn năm 2019,Tổ hợp môn năm 2020,Tổ hợp môn năm 2021,Tổ hợp môn năm 2022,Tổ hợp môn năm 2023,Tổ hợp môn năm 2024,Tổ hợp môn năm 2025,Điểm chuẩn năm 2019,Điểm chuẩn năm 2020,Điểm chuẩn năm 2021,Điểm chuẩn năm 2022,Điểm chuẩn năm 2023,Điểm chuẩn năm 2024,Điểm chuẩn năm 2025
CEA,7340101,Quản trị kinh doanh,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;D01;A01;C03,13.3,14.1,14.0,13.0,18.0,17.0,16.5
CEA,7340201,Tài chính - Ngân hàng,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;D01;A01;C03,14.35,15.8,14.0,15.5,18.0,17.0,17.0
CEA,7340301,Kế toán,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;D01;A01;C03,13.0,14.0,14.0,15.0,18.0,17.0,17.0
CEA,7620201,Lâm học,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;D01;A01;C03,13.0,14.0,14.0,15.5,20.0,18.0,24.0
CEA,7640101,Thú y,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,B00;D01;A01;C03,13.45,15.3,14.0,14.0,18.0,17.0,16.0
CEA,7850103,Quản lý đất đai,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;D01;A01;C03,17.55,15.65,14.0,15.5,19.0,17.0,16.0
DAD,7220201,Ngôn ngữ Anh,D01;D14;D15;D12,D01;D78;D90;D96,A01;D01;D78;D90,A01;D01;D78;D90,A01;D01;D78;D90,A01;D01;D78;D90,C00;C03;C04;D01;D10;D14;X02;X70;X78,14.0,14.0,15.0,15.0,15.0,15.0,15.0
DAD,7220204,Ngôn ngữ Trung Quốc,D01;D16;A16;C15,A01;C00;D01;D04,A01;C00;C15;D01,A01;D01;D04;D78,A01;D01;D04;D78,A01;D01;D04;D78,C00;C03;C04;D01;D10;D14;X02;X70;X78,14.0,14.0,15.0,15.0,15.0,15.0,15.0
DAD,7310401,Tâm lý học,C00;D01;A15;C16,A16;C00;C15;D01,A00;B00;C00;D01,A00;A01;D01;D78,A00;C00;D01;D78,A00;C00;D01;D78,C00;C03;C04;B03;D01;D15;X02;X17;X70,14.0,14.5,15.0,15.0,15.0,15.0,15.0
DAD,7340101,Quản trị kinh doanh,A00;A16;D01;C15,A00;A16;C00;D01,A00;A01;C01;D01,A00;A01;D01;D78,A00;A01;D01;D78,A00;A01;D01;D78,A00;A01;A07;D01;D10;X01;X02;X17;X21,14.0,14.0,15.0,15.0,15.0,15.0,15.0
DAD,7340201,Tài chính - Ngân hàng,A00;A16;D01;C15,A00;A16;C15;D01,A00;A01;C01;D01,A00;A01;D01;D78,A00;A01;D01;D78,A00;A01;D01;D78,A00;A01;A07;D01;D10;X01;X02;X17;X21,14.0,14.0,15.0,15.0,15.0,15.0,15.0
DAD,7340301,Kế toán,A00;A16;D01;C15,A00;A16;C15;D01,A00;A01;C01;D01,A00;A01;D01;D78,A00;A01;D01;D78,A00;A01;D01;D78,A00;A01;A07;D01;D10;X01;X02;X17;X21,14.0,14.0,15.0,15.0,15.0,15.0,15.0
DAD,7340404,Quản trị nhân lực,C00;D01;C15;A16,C00;C15;D01;D78,A00;A01;C00;D01,A00;C00;D01;D78,A00;C00;D01;D78,A00;C00;D01;D78,A07;C00;D01;D09;D14;X25;X01;X02;X78,14.0,14.0,15.0,15.0,15.0,15.0,15.0
DAD,7340406,Quản trị văn phòng,C00;D01;C15;A16,C00;C15;D01;D78,A00;A01;C00;D01,A00;C00;D01;D78,A00;C00;D01;D78,A00;C00;D01;D78,A07;C00;D01;D09;D14;X25;X01;X02;X78,14.0,14.0,15.0,15.0,15.0,15.0,15.0
DAD,7380107,Luật kinh tế,A00;C00;C15;D01,A00;C00;C15;D01,A00;C00;D01;D90,A00;C00;D01;D78,A00;C00;D01;D78,A00;C00;D01;D78,,14.0,14.0,15.0,15.0,15.0,15.0,
DAD,7380107_A01,Luật kinh tế,,,,,,,A01,,,,,,,15.0
DAD,7380107_C00,Luật kinh tế,,,,,,,C00,,,,,,,15.0
DAD,7380107_C03,Luật kinh tế,,,,,,,C03,,,,,,,15.0
DAD,7380107_C04,Luật kinh tế,,,,,,,C04,,,,,,,15.0
DAD,7380107_D01,Luật kinh tế,,,,,,,D01,,,,,,,15.0
DAD,7380107_D14,Luật kinh tế,,,,,,,D14,,,,,,,15.0
DAD,7380107_X01,Luật kinh tế,,,,,,,X01,,,,,,,15.0
DAD,7380107_X02,Luật kinh tế,,,,,,,X02,,,,,,,15.0
DAD,7380107_X25,Luật kinh tế,,,,,,,X25,,,,,,,15.0
DAD,7380107_X53,Luật kinh tế,,,,,,,X53,,,,,,,15.0
DAD,7480201,Công nghệ thông tin,A00;A01;A16;D01,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;X01;X02;X06;X07;X25;X26,17.5,14.0,15.0,15.0,15.0,15.0,15.0
DAD,7510103,Công nghệ kỹ thuật xây dựng,A00;A16;C01;C02,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;A02;A04;C01;X05;X06;X07;X26,14.0,14.0,15.0,15.0,15.0,15.0,15.0
DAD,7510205,Công nghệ kỹ thuật ô tô,A00;A16;C01;C02,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;A02;A04;C01;X05;X06;X07;X26,14.0,14.0,15.0,15.0,15.0,15.0,15.0
DAD,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A16;C01;C02,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;A02;A04;C01;X05;X06;X07;X26,14.0,14.0,15.0,15.0,15.0,15.0,15.0
DAD,7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,A00;A16;C01;C02,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;A02;A04;C01;X05;X06;X07;X26,14.0,15.0,15.0,15.0,15.0,15.0,15.0
DAD,7540101,Công nghệ thực phẩm,A00;B00;D01;D08,A00;B00;D01;B08,A00;B00;B08;D01,A00;B00;B08;D01,A00;B00;B08;D01,A00;B00;B08;D01,A00;A02;B00;B02;B03;B08;X09;X13;X14,14.0,14.0,15.0,15.0,15.0,15.0,15.0
DAD,7620101,Nông nghiệp,A00;B00;D01;D08,A00;B00;D01;B08,A00;B00;B08;D01,A00;B00;B08;D01,A00;B00;B08;D01,A00;B00;B08;D01,A00;A02;B00;B02;B03;B08;X09;X13;X14,14.0,14.0,15.0,15.0,15.0,15.0,15.0
DAD,7720201,Dược học,A00;B00;D07;B03,A00;B00;D07;D90,A00;B00;D07;D90,A00;B00;D07;D90,A00;B00;D07;D90,A00;B00;D07;D90,A00;A02;B00;B08;D07;X09;X11;X13;X14,20.0,21.0,21.0,21.0,21.0,21.0,19.0
DAD,7720301,Điều dưỡng,B00;A02;B03;A16,A00;B00;D08;D90,A00;B00;B08;D90,A00;B00;B08;D90,A00;B00;B08;D90,A00;B00;B08;D90,A00;A02;B00;B08;B03;D07;X11;X13;X14,18.0,19.0,19.0,19.0,19.0,19.0,17.0
DAD,7720401,Dinh dưỡng,B00;A02;B03;A16,A00;B00;D08;D90,A00;B00;B08;D90,A00;B00;B08;D90,A00;B00;B08;D90,A00;B00;B08;D90,A00;A02;B00;B08;B03;D07;X11;X13;X14,18.0,15.0,15.0,15.0,15.0,15.0,15.0
DAD,7810103,Quản trị dịch vụ du lịch và lữ hành,A00;C00;D01;C15,A00;C00;C15;D01,A00;C00;D01;D10,C00;D01;D78;D90,C00;D01;D78;D90,C00;D01;D78;D90,,14.0,14.0,15.0,15.0,15.0,15.0,
DAD,7810103_C00,Quản trị dịch vụ du lịch và lữ hành,,,,,,,C00,,,,,,,15.0
DAD,7810103_C04,Quản trị dịch vụ du lịch và lữ hành,,,,,,,C04,,,,,,,15.0
DAD,7810103_D01,Quản trị dịch vụ du lịch và lữ hành,,,,,,,D01,,,,,,,15.0
DAD,7810103_D09,Quản trị dịch vụ du lịch và lữ hành,,,,,,,D09,,,,,,,15.0
DAD,7810103_D14,Quản trị dịch vụ du lịch và lữ hành,,,,,,,D14,,,,,,,15.0
DAD,7810103_D15,Quản trị dịch vụ du lịch và lữ hành,,,,,,,D15,,,,,,,15.0
DAD,7810103_X01,Quản trị dịch vụ du lịch và lữ hành,,,,,,,X01,,,,,,,15.0
DAD,7810103_X02,Quản trị dịch vụ du lịch và lữ hành,,,,,,,X02,,,,,,,15.0
DAD,7810103_X21,Quản trị dịch vụ du lịch và lữ hành,,,,,,,X21,,,,,,,15.0
DAD,7810201,Quản trị khách sạn,A00;C00;D01;C15,A00;C00;C15;D01,A00;C00;D01;D10,C00;D01;D78;D90,C00;D01;D78;D90,C00;D01;D78;D90,C00;C04;D01;D09;D14;D15;X01;X02;X21,14.0,14.0,15.0,15.0,15.0,15.0,15.0
DBG,7310101,Kinh tế,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01;C20,A00;A01;A07;C03;C04;D01;X02;X01;X25;D30;D04;X37,13.0,15.0,15.0,15.0,15.0,15.0,15.0
DBG,7340301,Kế toán,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01;C20,A00;A01;A07;C03;C04;D01;X02;X01;X25;D30;D04;X37,13.0,15.0,15.0,15.0,15.0,15.0,15.0
DBG,7540101,Công nghệ thực phẩm,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;A07;B00;C03;D01;D07;X01;X11;X12;D30;D25;D04,13.0,15.0,15.0,15.0,15.0,15.0,15.0
DBG,7620105,Chăn nuôi,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;A07;B00;C03;D07;D08;X13;X15;X16;D30;D25;D35,13.0,15.0,15.0,15.0,15.0,15.0,15.0
DBG,7620110,Khoa học cây trồng,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;A07;B00;C03;D07;D08;X13;X15;X16;D30;D25;D35,13.0,15.0,15.0,15.0,15.0,15.0,15.0
DBG,7620112,Bảo vệ thực vật,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;A07;B00;C03;D07;D08;X13;X15;X16;D30;D25;D35,13.0,15.0,15.0,15.0,15.0,15.0,15.0
DBG,7620211,Quản lý tài nguyên rừng,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;A07;B00;C03;D07;D08;X13;X15;X16;D30;D25;D35,13.0,15.0,15.0,15.0,15.0,15.0,15.0
DBG,7640101,Thú y,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;A07;B00;C03;D07;D08;X13;X15;X16;D30;D25;D35,13.0,15.0,15.0,15.0,15.0,15.0,15.0
DBG,7850101,Quản lý tài nguyên và môi trường,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A01;B00;D01;C20,A00;A01;D01;C03;C04;X01;D07;X11;X12;A07;D30;D04;D25,13.0,15.0,15.0,15.0,15.0,15.0,15.0
DBG,7850103,Quản lý đất đai,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;D01;C03;C04;X01;D07;X11;X12;A07;D30;D04;D25,13.0,15.0,15.0,15.0,15.0,15.0,15.0
DBL,7220101,Tiếng Việt và văn hoá Việt Nam,C00;C15;D01;D78,C00;D01;C15;D78,C00;D01;C15;D78,C00;C03;D01;D78,C00;C03;D01;D78,C00;C03;D01;D78,C00;C03;C04;D01;D09;D10;D14;D15;X01;X03,14.0,15.0,15.0,15.0,15.0,15.0,20.0
DBL,7220201,Ngôn ngữ Anh,D01;D09;D78,D01;D09;D14;D78,D01;D09;D14;D78,D01;D09;D14;D78,D01;D09;D14;D78,D01;D09;D14;D78,A01;D01;D07;D08;D09;D10;D11;D14;D15;D84,14.0,15.0,15.0,15.0,15.0,15.0,15.0
DBL,7340101,Quản trị kinh doanh,A00;A01;A16;D90,A00;A01;A16;D90,A00;A01;A16;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;B03;C01;C02;C03;C04;D01;X01,14.0,15.0,15.0,15.0,16.0,15.0,15.0
DBL,7340201,Tài chính - Ngân hàng,A00;A01;A16;D90,A00;A01;A16;D90,A00;A01;A16;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;B03;C01;C02;C03;C04;D01;X01,14.0,15.0,15.0,15.0,16.0,15.0,15.0
DBL,7340301,Kế toán,A00;A01;A16;D90,A00;A01;A16;D90,A00;A01;A16;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;B03;C01;C02;C03;C04;D01;X01,14.0,15.0,15.0,15.0,16.0,15.0,15.0
DBL,7440301,Khoa học môi trường,A00;A16;B00;D90,A02;B00;A16;D90,A01;A02;B00;D07,A00;B00;D07;D90,A00;B00;D07;D90,A00;B00;D07;D90,B00;B03;C01;C02;C03;C04;D01;X04;X14;X16,14.0,15.0,15.0,15.0,15.0,15.0,15.0
DBL,7480201,Công nghệ thông tin,A00;A01;A16;D90,A00;A01;A16;D90,A00;A01;A16;D90,A00;A01;D07;D90,A00;A01;D07;D90,A00;A01;D07;D90,A00;B03;C01;C02;C03;C04;D01;X02;X03;X26,14.0,15.0,15.0,15.0,15.0,15.0,15.0
DBL,7620105,Chăn nuôi,A00;A16;B00;D90,A02;B00;A16;D90,A02;B00;A16;D90,A00;B00;D07;D90,A00;B00;D07;D90,A00;B00;D07;D90,B00;B03;C01;C02;C03;C04;D01;X04;X14;X16,14.0,15.0,15.0,15.0,15.0,15.0,15.0
DBL,7620112,Bảo vệ thực vật,A00;A16;B00;D90,A02;B00;A16;D90,A02;B00;A16;D90,A00;B00;D07;D90,A00;B00;D07;D90,A00;B00;D07;D90,B00;B03;C01;C02;C03;C04;D01;X04;X14;X16,14.0,15.0,15.0,15.0,15.0,15.0,15.0
DBL,7620301,Nuôi trồng thủy sản,A00;A16;B00;D90,A02;B00;A16;D90,A02;B00;A16;D90,A00;B00;D07;D90,A00;B00;D07;D90,A00;B00;D07;D90,B00;B03;C01;C02;C03;C04;D01;X04;X14;X16,14.0,15.0,15.0,15.0,15.0,15.0,15.0
DCD,7220201,Ngôn ngữ Anh,D01;D14;D15;D84,D01;D14;D15;D84,D01;D14;D15;D84,D01;D14;D15;D84,D01;D14;D15;D84,D01;D14;D15;D66,D01;D14;D15;D66;X78,15.5,15.0,15.0,15.0,15.0,15.0,17.67
DCD,7340101,Quản trị kinh doanh,A00;A07;A09;D84,A00;A07;A09;D84,A00;A07;A09;D84,A00;A07;A09;D84,A00;A07;A09;D84,A00;A07;C00;D01,A00;A01;A07;C04;D01;D09;D10,15.5,15.0,15.0,15.0,15.0,15.0,17.33
DCD,7340201,Tài chính - Ngân hàng,A00;A07;A09;D84,A00;A07;A09;D84,A00;A07;A09;D84,A00;A07;A09;D84,A00;A07;A09;D84,A00;A07;C00;D01,A00;A01;A07;C04;D01;D09;D10,14.0,15.25,15.0,15.0,15.0,15.0,17.33
DCD,7480201,Công nghệ thông tin,A00;A01;A04;A10,A00;A01;A04;A10,A00;A01;A04;A10,A00;A01;A04;A10,A00;A01;A04;A10,A00;A01;A10;D01,A00;A01;A04;A10;D01;D09;D10;X05,14.0,15.0,15.0,15.0,15.0,15.0,17.33
DCD,7510205,Công nghệ kỹ thuật ô tô,A00;A01;A03;A10,A00;A01;A03;A10,A00;A01;A03;A10,A00;A01;A04;A10,A00;A01;A04;A10,A00;A01;A04;A10,A00;A01;A04;A10;D01;D09;D10;X05,16.0,15.0,15.0,15.0,15.0,15.0,17.33
DCD,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01;A04;A10,A00;A01;A04;A10,A00;A01;A04;A10,A00;A01;A04;A10,A00;A01;A04;A10,A00;A01;A04;A10,A00;A01;A04;A10;D01;D09;D10;X05,14.0,15.0,15.0,15.0,15.0,15.0,17.33
DCD,7540101,Công nghệ thực phẩm,A00;A06;B00;D07,A00;A06;B00;D07,A00;A06;B00;D07,A00;A06;B00;B04,A00;A06;B00;D04,A00;A07;B00;B04,A00;A07;BO0;B04;B08;D01;D09;D10;X13,14.0,15.0,15.0,15.0,15.0,15.0,17.33
DCD,7720301,Điều dưỡng,A06;B00;B04;C08,A06;B00;B04;C08,A06;B00;B04;C08,A06;B00;B04;C08,A06;B00;B04;C08,A00;B00;C08;D07,A00;A02;B00;B08;D01;D07;D09;D10,18.0,19.0,19.0,19.0,19.0,19.0,22.8
DCD,7720601,Kỹ thuật xét nghiệm y học,A06;A16;B00;B04,A06;A16;B00;B04,A00;A06;B00;B04,A06;B00;B04;C08,A06;B00;B04;C08,A00;B00;C08;D07,A00;A02;B00;B08;D01;D07;D09;D10,18.0,19.0,19.0,19.0,19.0,19.0,22.8
DCD,7810103,Quản trị dịch vụ du lịch và lữ hành,A07;C00;C20;D66,A07;C00;C20;D66,A07;A09;C00;C20,A07;A09;C00;C20,A00;A07;A09;D84,A00;A07;C00;D01,A00;A01;A07;C04;D01;D09;D10,17.0,15.0,15.0,15.0,15.0,15.0,17.33
