Mã trường,Mã ngành,Tên ngành,Tổ hợp môn năm 2019,Tổ hợp môn năm 2020,Tổ hợp môn năm 2021,Tổ hợp môn năm 2022,Tổ hợp môn năm 2023,Tổ hợp môn năm 2024,Điểm chuẩn năm 2019,Điểm chuẩn năm 2020,Điểm chuẩn năm 2021,Điểm chuẩn năm 2022,Điểm chuẩn năm 2023,Điểm chuẩn năm 2024
YDS,7720602,Kỹ thuật hình ảnh y học,B00,B00,B00,B00,A00;B00,B00;A00,22.0,24.45,24.8,23.0,23.85,24.35
YDS,7720603,Kỹ thuật phục hồi chức năng,B00,B00,B00,B00,A00;B00,B00;A00,21.1,23.5,24.1,20.6,23.35,24.04
YDS,7720701,Y tế công cộng,B00,B00,B00,B00,A00;B00,B00;A00,18.5,19.0,22.0,19.1,19.0,21.45
YHB,7720101,Y khoa,B00,B00,B00,B00,B00,B00,26.75,28.9,28.85,28.15,27.73,28.27
YHB,7720110,Y học dự phòng,B00,B00,B00,B00,B00,B00,21.0,24.25,24.85,23.15,22.3,22.94
YHB,7720115,Y học cổ truyền,B00,B00,B00,B00,B00,B00,23.3,26.5,26.2,25.25,24.77,25.29
YHB,7720301,Điều dưỡng,B00,B00,B00,B00,B00,B00,22.0,25.8,25.6,24.7,24.0,24.59
YHB,7720401,Dinh dưỡng,B00,B00,B00,B00,B00,B00,21.0,24.7,24.65,23.25,23.19,23.33
YHB,7720501,Răng - Hàm - Mặt,B00,B00,B00,B00,B00,B00,26.4,28.65,28.45,27.7,27.5,27.67
YHB,7720601,Kỹ thuật xét nghiệm y học,B00,B00,B00,B00,B00,B00,23.2,26.5,26.2,25.55,24.85,25.35
YHB,7720699,Khúc xạ nhãn khoa,B00,B00,B00,B00,B00,B00,23.4,26.65,26.2,25.8,25.4,25.38
YHB,7720701,Y tế công cộng,B00,B00,B00,B00,B00,,19.9,22.4,23.8,21.5,20.7,
YHB,7720701_B00,Y tế công cộng,,,,,,B00,,,,,,22.85
YHB,7720701_B08,Y tế công cộng,,,,,,B08,,,,,,22.35
YHB,7720701_D01,Y tế công cộng,,,,,,D01,,,,,,24.3
YKV,7720101,Y khoa,B00,B00,B00,B00,B00,B00,22.4,25.4,25.7,24.75,24.0,24.85
YKV,7720110,Y học dự phòng,B00,B00,B00,B00,B00,B00,18.0,19.0,19.0,19.0,19.0,19.0
