Mã trường,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Năm xét tuyển,Ghi chú
ANS,7860100_Nu_8,"Nghiệp vụ An ninh (Thí sinh Nữ, vùng 8)",A00;A01;C03;D01,16.0,2024,"Bài thi CA2, nữ, vùng 8"
BKA,7850103_BF-E12,Chương trình tiên tiến Kỹ thuật Thực phẩm,A00;B00;D07,23.0,2019,
BKA,7850103_BF-E12,Kỹ thuật Thực phẩm (CT tiên tiến),A00;B00;D07,25.94,2020,Toán
BKA,7850103_BF-E12,Kỹ thuật Thực phẩm (Chương trình tiên tiến),A00;B00,24.44,2021,
BKA,7850103_BF-E12,Kỹ thuật Thực phẩm (CT tiên tiến),A00;B00;D07,22.7,2023,
BKA,7850103_BF-E12,Kỹ thuật Thực phẩm (CT tiên tiến),A00;B00;D07,22.0,2024,
BKA,7850103_BF-E12x,Kỹ thuật Thực phẩm (CT tiên tiến),A20,19.04,2020,KTTD
BKA,7850103_BF-E12y,Kỹ thuật Thực phẩm (CT tiên tiến),A00;B00;D07,23.35,2022,
BKA,7850103_BF-E19,Kỹ thuật sinh học (CT tiên tiến),A00;B00;D07,21.0,2023,
BKA,7850103_BF-E19,Kỹ thuật sinh học (CT tiên tiến),A00;B00;D07,22.0,2024,
BKA,7850103_BF1,Kỹ thuật Sinh học,A00;B00;D07,23.4,2019,
BKA,7850103_BF1,Kỹ thuật Sinh học,A00;B00;D07,26.2,2020,Toán
BKA,7850103_BF1,Kỹ thuật Sinh học,A00;B00,25.34,2021,
BKA,7850103_BF1,Kỹ thuật Sinh học,A00;B00;D07,24.6,2023,
BKA,7850103_BF1,Kỹ thuật Sinh học,A00;B00;D07,24.0,2024,
BKA,7850103_BF1x,Kỹ thuật Sinh học,A20,20.53,2020,KTTD
BKA,7850103_BF1y,Kỹ thuật Sinh học,A00;B00;D07,23.25,2022,
BKA,7850103_BF2,Kỹ thuật Thực phẩm,A00;B00;D07,24.0,2019,
BKA,7850103_BF2,Kỹ thuật Thực phẩm,A00;B00;D07,26.6,2020,Toán
BKA,7850103_BF2,Kỹ thuật Thực phẩm,A00;B00,25.94,2021,
BKA,7850103_BF2,Kỹ thuật Thực phẩm,A00;B00;D07,24.49,2023,
BKA,7850103_BF2,Kỹ thuật Thực phẩm,A00;B00;D07,24.54,2024,
BKA,7850103_BF2x,Kỹ thuật Thực phẩm,A20,21.07,2020,KTTD
BKA,7850103_BF2y,Kỹ thuật Thực phẩm,A00;B00;D07,23.35,2022,
BKA,7850103_CH-E11,Chương trình tiên tiến Kỹ thuật Hóa dược,A00;B00;D07,23.1,2019,
BKA,7850103_CH-E11,Kỹ thuật Hóa dược (CT tiên tiến),A00;A01;B00;D07,26.5,2020,Toán
BKA,7850103_CH-E11,Kỹ thuật Hóa dược (Chương trình tiên tiến),A00;B00;D07,26.4,2021,
BKA,7850103_CH-E11,Kỹ thuật Hóa dược (CT tiên tiến),A00;B00;D07,23.44,2023,
BKA,7850103_CH-E11,Kỹ thuật Hóa dược (CT tiên tiến),A00;A01;D07,24.34,2024,
BKA,7850103_CH-E11x,Kỹ thuật Hóa dược (CT tiên tiến),A19;A20,20.5,2020,KTTD
BKA,7850103_CH-E11y,Kỹ thuật Hóa dược (CT tiên tiến),A00;B00;D07,23.7,2022,
BKA,7850103_CH1,Kỹ thuật Hóa học,A00;B00;D07,22.3,2019,
BKA,7850103_CH1,Kỹ thuật Hoá học,A00;A01;B00;D07,25.26,2020,Toán
BKA,7850103_CH1,Kỹ thuật Hóa học,A00;B00;D07,25.2,2021,
BKA,7850103_CH1,Kỹ thuật Hóa học,A00;B00;D07,23.7,2023,
BKA,7850103_CH1,Kỹ thuật Hóa học,A00;B00;D07,24.38,2024,
BKA,7850103_CH1Y,Kỹ thuật Hoá học,A00;B00;D07,23.03,2022,
BKA,7850103_CH1x,Kỹ thuật Hoá học,A19;A20,19.0,2020,KTTD
BKA,7850103_CH2,Hóa học,A00;B00;D07,21.1,2019,
BKA,7850103_CH2,Hoá học,A00;A01;B00;D07,24.16,2020,Toán
BKA,7850103_CH2,Hóa học,A00;B00;D07,24.96,2021,
BKA,7850103_CH2,Hóa học,A00;B00;D07,23.04,2023,
BKA,7850103_CH2,Hóa học,A00;B00;D07,23.81,2024,
BKA,7850103_CH2x,Hoá học,A19;A20,19.0,2020,KTTD
BKA,7850103_CH2y,Hoá học,A00;B00;D07,23.03,2022,
BKA,7850103_CH3,Kỹ thuật in,A00;B00;D07,21.1,2019,
BKA,7850103_CH3,Kỹ thuật in,A00;A01;B00;D07,24.51,2020,Toán
BKA,7850103_CH3,Kỹ thuật In,A00;B00;D07,24.45,2021,
BKA,7850103_CH3,Kỹ thuật In,A00;A01;D07,22.7,2023,
BKA,7850103_CH3x,Kỹ thuật in,A19;A20,19.0,2020,KTTD
BKA,7850103_CH3y,Kỹ thuật in,A00;B00;D07,23.03,2022,
BKA,7850103_ED2,Công nghệ giáo dục,A00;A01. D01,20.6,2019,
BKA,7850103_ED2,Công nghệ giáo dục,A00;A01;D01,23.8,2020,
BKA,7850103_ED2,Công nghệ Giáo dục,A00;A01;D01,26.4,2021,
BKA,7850103_ED2,Công nghệ Giáo dục,A00;A01;D01,24.55,2023,
BKA,7850103_ED2,Công nghệ Giáo dục,A00;A01;D01,25.3,2024,
BKA,7850103_ED2x,Công nghệ giáo dục,A19,19.0,2020,KTTD
BKA,7850103_ED2y,Công nghệ giáo dục,A00;A01;D01,23.15,2022,
BKA,7850103_ED3,Quản lý giáo dục,A00;A01;D01,24.78,2024,
BKA,7850103_EE-E18,Hệ thống điện và năng lượng tái tạo (Chương trình tiên tiến),A00;A01,25.71,2021,
BKA,7850103_EE-E18,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),A00;A01,24.47,2023,
BKA,7850103_EE-E18,Hệ thống điện và năng lượng tái tạo (CT tiên tiến),A00;A01,25.8,2024,
