Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú,Mã trường,Năm xét tuyển
EP08,Quản trị chất lượng và Đổi mới (E-MQI),A01;D01;D07;D10,26.6,,KHA,2023
EP09,Công nghệ tài chính (BFT),A00;A01;D01;D07,26.75,,KHA,2023
EP10,Tài chính và Đầu tư (BFI) (tiếng Anh hệ số 2),A01;D01;D07;D10,36.5,,KHA,2023
EP11,Quản trị khách sạn quốc tế (IHME) (tiếng Anh hệ số 2),A01;D01;D09;D10,35.75,,KHA,2023
EP12,Kiểm toán tích hợp CCQT (AUD-ICAEW),A00;A01;D01;D07,27.2,,KHA,2023
EP13,Kinh tế học tài chính (FE),A00;A01;D01;D07,26.75,,KHA,2023
EP14,Logistics và QLCCU tích hợp CCQT (LSIC) (tiếng Anh hệ số 2),A01;D01;D07;D10,36.4,,KHA,2023
EPMP,Quản lý công và Chính sách (E-PMP),A00;A01;D01;D07,26.1,,KHA,2023
POHE1,POHE - Quản trị khách sạn  (tiếng Anh hệ số 2),A01;D01;D07;D09,35.65,,KHA,2023
POHE2,POHE - Quản trị lữ hành (tiếng Anh hệ số 2),A01;D01;D07;D09,35.65,,KHA,2023
POHE3,POHE - Truyền thông Marketing  (tiếng Anh hệ số 2),A01;D01;D07;D09,37.1,,KHA,2023
POHE4,POHE - Luật kinh doanh  (tiếng Anh hệ số 2),A01;D01;D07;D09,36.2,,KHA,2023
POHE5,POHE - Quản trị kinh doanh thương mại  (tiếng Anh hệ số 2),A01;D01;D07;D09,36.85,,KHA,2023
POHE6,POHE - Quản lý thị trường  (tiếng Anh hệ số 2),A01;D01;D07;D09,35.65,,KHA,2023
POHE7,POHE - Thẩm định giá  (tiếng Anh hệ số 2),A01;D01;D07;D09,35.85,,KHA,2023
7220201,Ngôn ngữ Anh,A01;D01;D09;D10,35.85,"Chương trình Tiếng Anh
hệ số 2",KHA,2022
7310101_1,Kinh tế học (ngành Kinh tế),A00;A01;D01;D07,27.45,,KHA,2022
7310101_2,"Kinh tế và quản lý đô thị 
(ngành Kinh tế)",A00;A01;D01;D07,26.9,,KHA,2022
7310101_3,"Kinh tế và quản lý nguồn nhân
lực (ngành Kinh tế)",A00;A01;D01;D07,27.65,,KHA,2022
7310104,Kinh tế đầu tư,A00;A01;D01;B00,27.5,,KHA,2022
7310105,Kinh tế phát triển,A00;A01;D01;D07,27.5,,KHA,2022
7310106,Kinh tế quốc tế,A00;A01;D01;D07,27.75,,KHA,2022
7310107,Thống kê kinh tế,A00;A01;D01;D07,27.2,,KHA,2022
7310108,Toán kinh tế,A00;A01;D01;D07,27.15,,KHA,2022
7320108,Quan hệ công chúng,A01;D01;C03;C04,28.6,,KHA,2022
7340101,Quản trị kinh doanh,A00;A01;D01;D07,27.45,,KHA,2022
7340115,Marketing,A00;A01;D01;D07,28.0,,KHA,2022
7340116,Bất động sản,A00;A01;D01;D07,26.65,,KHA,2022
7340120,Kinh doanh quốc tế,A00;A01;D01;D07,28.0,,KHA,2022
7340121,Kinh doanh thương mại,A00;A01;D01;D07,27.7,,KHA,2022
7340122,Thương mại điện tử,A00;A01;D01;D07,28.1,,KHA,2022
7340201,Tài chính - Ngân hàng,A00;A01;D01;D07,27.25,,KHA,2022
7340204,Bảo hiểm,A00;A01;D01;D07,26.4,,KHA,2022
7340301,Kế toán,A00;A01;D01;D07,27.4,,KHA,2022
7340302,Kiểm toán,A00;A01;D01;D07,28.15,,KHA,2022
7340401,Khoa học quản lý,A00;A01;D01;D07,26.85,,KHA,2022
7340403,Quản lý công,A00;A01;D01;D07,26.6,,KHA,2022
7340404,Quản trị nhân lực,A00;A01;D01;D07,27.45,,KHA,2022
7340405,Hệ thống thông tin quản lý,A00;A01;D01;D07,27.5,,KHA,2022
7340409,Quản lý dự án,A00;A01;D01;B00,27.3,,KHA,2022
7380101,Luật,A00;A01;D01;D07,26.3,,KHA,2022
7380107,Luật kinh tế,A00;A01;D01;D07,27.0,,KHA,2022
7480101,Khoa học máy tính,A00;A01;D01;D07,26.7,,KHA,2022
7480201,Công nghệ thông tin,A00;A01;D01;D07,27.0,,KHA,2022
7510605,"Logistics và Quản lý chuỗi 
cung ứng",A00;A01;D01;D07,28.2,,KHA,2022
7620114,Kinh doanh nông nghiệp,A00;A01;D01;B00,26.1,,KHA,2022
7620115,Kinh tế nông nghiệp,A00;A01;D01;B00,26.1,,KHA,2022
7810103,"Quản trị dịch vụ du lịch và lữ
hành",A00;A01;D01;D07,26.85,,KHA,2022
7810201,Quản trị khách sạn,A00;A01;D01;D07,26.85,,KHA,2022
7850101,Quản lý tài nguyên và môi trường,A00;A01;D01;D07,26.1,,KHA,2022
7850102,Kinh tế tài nguyên thiên nhiên,A00;A01;D01;B00,26.1,,KHA,2022
7850103,Quản lý đất đai,A00;A01;D01;D07,26.2,,KHA,2022
